model_name,hidden_sizes,dropout_prob,epoch,train_loss,train_acc,test_loss,test_acc
MLP 1 Strato Nascosto,[512],0.0,1,0.23725005814325073,0.9610833333333333,0.13203641383236722,0.9576
MLP 1 Strato Nascosto,[512],0.0,2,0.09313049068702246,0.9818333333333333,0.08785302377942525,0.9724
MLP 1 Strato Nascosto,[512],0.0,3,0.05990325739539699,0.9878833333333333,0.06740135139980223,0.9788
MLP 1 Strato Nascosto,[512],0.0,4,0.04279413338758544,0.9923833333333333,0.06934307910622793,0.9792
MLP 1 Strato Nascosto,[512],0.0,5,0.03131054682599536,0.9938333333333333,0.0647478535870102,0.9807
MLP 1 Strato Nascosto,[512],0.0,6,0.02345235033634939,0.9951,0.06413644661885963,0.9817
MLP 1 Strato Nascosto,[512],0.0,7,0.01823306013805184,0.99445,0.07606665513042031,0.9776
MLP 1 Strato Nascosto,[512],0.0,8,0.017229630797009256,0.9951166666666666,0.07884364770493275,0.979
MLP 1 Strato Nascosto,[512],0.0,9,0.015442750831596307,0.9960166666666667,0.07835974093320112,0.9796
MLP 1 Strato Nascosto,[512],0.0,10,0.013183357461151093,0.9953666666666666,0.08358337622789055,0.9783
MLP 1 Strato Nascosto,[512],0.0,11,0.010273367006106794,0.9984333333333333,0.07336023869319883,0.9812
MLP 1 Strato Nascosto,[512],0.0,12,0.009625753056620862,0.9969,0.08671540357106176,0.9794
MLP 1 Strato Nascosto,[512],0.0,13,0.012470290005502567,0.9975,0.08664432833508347,0.9785
MLP 1 Strato Nascosto,[512],0.0,14,0.009339399996386066,0.9980333333333333,0.08503427852396563,0.9807
MLP 1 Strato Nascosto,[512],0.0,15,0.006304644689599706,0.9977166666666667,0.09192835596598485,0.9785
MLP 1 Strato Nascosto,[512],0.0,16,0.010703194229251721,0.9964166666666666,0.09521415481210077,0.98
MLP 1 Strato Nascosto,[512],0.0,17,0.006822862461549235,0.9990166666666667,0.08515152273229983,0.9818
MLP 1 Strato Nascosto,[512],0.0,18,0.008705189169203353,0.9961,0.10945489340041434,0.9776
MLP 1 Strato Nascosto,[512],0.0,19,0.006966057138482811,0.9982166666666666,0.09098423914566581,0.981
MLP 1 Strato Nascosto,[512],0.0,20,0.007147684953252232,0.9969666666666667,0.1181592849515747,0.9785
MLP 1 Strato Nascosto,[512],0.2,1,0.2517085217241285,0.97095,0.10593252010714216,0.9677
MLP 1 Strato Nascosto,[512],0.2,2,0.10617964177418238,0.9806333333333334,0.0843561234724814,0.9735
MLP 1 Strato Nascosto,[512],0.2,3,0.07480259258538358,0.9880166666666667,0.06820581237788466,0.9794
MLP 1 Strato Nascosto,[512],0.2,4,0.06102277427665524,0.9898,0.06390396870571023,0.9801
MLP 1 Strato Nascosto,[512],0.2,5,0.04665781131713216,0.9898333333333333,0.07269813877027895,0.9777
MLP 1 Strato Nascosto,[512],0.2,6,0.041179150008836755,0.99205,0.06848517851554052,0.9794
MLP 1 Strato Nascosto,[512],0.2,7,0.034462642110784904,0.9945833333333334,0.06731485398843608,0.9804
MLP 1 Strato Nascosto,[512],0.2,8,0.03029363874995362,0.9956,0.06201779788051094,0.9821
MLP 1 Strato Nascosto,[512],0.2,9,0.027282770604206953,0.9954833333333334,0.06539948567092037,0.9818
MLP 1 Strato Nascosto,[512],0.2,10,0.023428655908639625,0.9948,0.07649571644458175,0.9791
MLP 1 Strato Nascosto,[512],0.2,11,0.024779337811405892,0.9973666666666666,0.06788098387265633,0.9821
MLP 1 Strato Nascosto,[512],0.2,12,0.022967468876181157,0.9946666666666667,0.07671585290750678,0.9799
MLP 1 Strato Nascosto,[512],0.2,13,0.0233694063647261,0.9973333333333333,0.07322499010751926,0.9823
MLP 1 Strato Nascosto,[512],0.2,14,0.01736632752073889,0.99615,0.07906685409637512,0.9811
MLP 1 Strato Nascosto,[512],0.2,15,0.020217511653607245,0.9964666666666666,0.07148513288788469,0.9813
MLP 1 Strato Nascosto,[512],0.2,16,0.019219364809331053,0.9981333333333333,0.07146706605760036,0.9832
MLP 1 Strato Nascosto,[512],0.2,17,0.01441797296037408,0.9981833333333333,0.07584558600339439,0.983
MLP 1 Strato Nascosto,[512],0.2,18,0.015965830214957802,0.9982833333333333,0.07538075095306893,0.982
MLP 1 Strato Nascosto,[512],0.2,19,0.016086070665446515,0.9978166666666667,0.08598001310302963,0.9807
MLP 1 Strato Nascosto,[512],0.2,20,0.01509408126077575,0.99685,0.08560686284536016,0.9827
MLP 1 Strato Nascosto,[512],0.4,1,0.2718448009349898,0.96775,0.11806225216994652,0.9653
MLP 1 Strato Nascosto,[512],0.4,2,0.1301046815643242,0.9789333333333333,0.08662914092169155,0.9732
MLP 1 Strato Nascosto,[512],0.4,3,0.09913531939056255,0.9842166666666666,0.07315986568500182,0.9774
MLP 1 Strato Nascosto,[512],0.4,4,0.08256527892887783,0.98745,0.07064360644464983,0.9785
MLP 1 Strato Nascosto,[512],0.4,5,0.07274805186097937,0.9899,0.06939537144381011,0.9792
MLP 1 Strato Nascosto,[512],0.4,6,0.06181214512415183,0.9919666666666667,0.06553570421901089,0.9802
MLP 1 Strato Nascosto,[512],0.4,7,0.05793957981759551,0.9928333333333333,0.06907301766100145,0.98
MLP 1 Strato Nascosto,[512],0.4,8,0.05116160133226054,0.9934333333333333,0.06936937532598769,0.9806
MLP 1 Strato Nascosto,[512],0.4,9,0.04880326236240756,0.9950333333333333,0.06563951307419566,0.9814
MLP 1 Strato Nascosto,[512],0.4,10,0.04418994292025087,0.9947666666666667,0.07060468661797983,0.9802
MLP 1 Strato Nascosto,[512],0.4,11,0.04290359476054989,0.9961166666666667,0.07030936350994021,0.9809
MLP 1 Strato Nascosto,[512],0.4,12,0.04075003854894657,0.9955333333333334,0.06813878327780522,0.9816
MLP 1 Strato Nascosto,[512],0.4,13,0.0385552359698241,0.9965,0.0669131300769262,0.9836
MLP 1 Strato Nascosto,[512],0.4,14,0.03629639326929371,0.9960666666666667,0.07860046717772243,0.9792
MLP 1 Strato Nascosto,[512],0.4,15,0.03522400918733408,0.9975166666666667,0.06668617493078619,0.9829
MLP 1 Strato Nascosto,[512],0.4,16,0.033793099784676525,0.9974,0.06506291309627078,0.9839
MLP 1 Strato Nascosto,[512],0.4,17,0.031204901137468672,0.9972666666666666,0.07725887131908489,0.9831
MLP 1 Strato Nascosto,[512],0.4,18,0.032208641830172496,0.99785,0.07275851516340458,0.9835
MLP 1 Strato Nascosto,[512],0.4,19,0.03024568041063734,0.9977166666666667,0.07287473260848396,0.983
MLP 1 Strato Nascosto,[512],0.4,20,0.028626729733373192,0.9981166666666667,0.07258603773804184,0.9831
MLP 1 Strato Nascosto,[512],0.6,1,0.3209101623341219,0.9605,0.1353583595408952,0.9596
MLP 1 Strato Nascosto,[512],0.6,2,0.1753072592813069,0.9720166666666666,0.10337820641778975,0.9677
MLP 1 Strato Nascosto,[512],0.6,3,0.1378542392540461,0.97905,0.08787474099360996,0.9723
MLP 1 Strato Nascosto,[512],0.6,4,0.12011537889141773,0.9813833333333334,0.0855197402032658,0.9738
MLP 1 Strato Nascosto,[512],0.6,5,0.11069719293224278,0.98485,0.07185967200136555,0.9779
MLP 1 Strato Nascosto,[512],0.6,6,0.10204570541885108,0.9870166666666667,0.07252579164703059,0.9767
MLP 1 Strato Nascosto,[512],0.6,7,0.09525558565344129,0.9884,0.06909856183013785,0.9781
MLP 1 Strato Nascosto,[512],0.6,8,0.09077797369606523,0.98975,0.06671559466439582,0.9809
MLP 1 Strato Nascosto,[512],0.6,9,0.08430666781898373,0.99015,0.07178739212229376,0.9787
MLP 1 Strato Nascosto,[512],0.6,10,0.08144505180196086,0.9909333333333333,0.06983259892683547,0.9796
MLP 1 Strato Nascosto,[512],0.6,11,0.08098285820688615,0.9919833333333333,0.06448906571248803,0.9809
MLP 1 Strato Nascosto,[512],0.6,12,0.07659986177320356,0.9932,0.06402016575359798,0.9815
MLP 1 Strato Nascosto,[512],0.6,13,0.07409406072998256,0.9944166666666666,0.06109397818501656,0.9821
MLP 1 Strato Nascosto,[512],0.6,14,0.0695996144687189,0.9937333333333334,0.06561864112458513,0.9817
MLP 1 Strato Nascosto,[512],0.6,15,0.06571626434894974,0.9942333333333333,0.065082197936734,0.9828
MLP 1 Strato Nascosto,[512],0.6,16,0.06599873333309553,0.9943833333333333,0.06321684587131626,0.983
MLP 1 Strato Nascosto,[512],0.6,17,0.06303028448391507,0.9952,0.06305287648911538,0.9833
MLP 1 Strato Nascosto,[512],0.6,18,0.06471011033956843,0.9958833333333333,0.0630867533297498,0.9832
MLP 1 Strato Nascosto,[512],0.6,19,0.06067587535625804,0.9953,0.06607832271771558,0.9841
MLP 1 Strato Nascosto,[512],0.6,20,0.060797528757938125,0.9949166666666667,0.07192117758473568,0.9826
MLP Multi-Strato,"[512, 256, 128]",0.0,1,0.248264623559646,0.9621166666666666,0.13455997052001237,0.958
MLP Multi-Strato,"[512, 256, 128]",0.0,2,0.09360851301178177,0.9811666666666666,0.0818022760633332,0.9737
MLP Multi-Strato,"[512, 256, 128]",0.0,3,0.06359868393098908,0.9851166666666666,0.07414828398400516,0.9764
MLP Multi-Strato,"[512, 256, 128]",0.0,4,0.04943693428586271,0.9862166666666666,0.08297268733200971,0.9747
MLP Multi-Strato,"[512, 256, 128]",0.0,5,0.03780548187975051,0.9878,0.0885596975236188,0.9753
MLP Multi-Strato,"[512, 256, 128]",0.0,6,0.031179240920138098,0.9864,0.0988381823095275,0.9731
MLP Multi-Strato,"[512, 256, 128]",0.0,7,0.028564637269155046,0.9826166666666667,0.11825467077192749,0.9684
MLP Multi-Strato,"[512, 256, 128]",0.0,8,0.023948047748470962,0.9931166666666666,0.08479404318771956,0.9782
MLP Multi-Strato,"[512, 256, 128]",0.0,9,0.021721834788344174,0.9953,0.06705083223510606,0.9827
MLP Multi-Strato,"[512, 256, 128]",0.0,10,0.01885630910766737,0.9973,0.06401313625470904,0.9838
MLP Multi-Strato,"[512, 256, 128]",0.0,11,0.01733852768324808,0.99605,0.07557591530826645,0.9813
MLP Multi-Strato,"[512, 256, 128]",0.0,12,0.01597992031072859,0.9961166666666667,0.08078208416457562,0.9799
MLP Multi-Strato,"[512, 256, 128]",0.0,13,0.01649890774427213,0.9949166666666667,0.08292499153349472,0.9792
MLP Multi-Strato,"[512, 256, 128]",0.0,14,0.014209212687070745,0.9970166666666667,0.08536470845257686,0.9818
MLP Multi-Strato,"[512, 256, 128]",0.0,15,0.014341052216398881,0.9962833333333333,0.080320592133957,0.9808
MLP Multi-Strato,"[512, 256, 128]",0.0,16,0.012280495164657677,0.9962,0.09609572591633464,0.9787
MLP Multi-Strato,"[512, 256, 128]",0.0,17,0.0136371885897899,0.9969166666666667,0.09153620196404598,0.9815
MLP Multi-Strato,"[512, 256, 128]",0.0,18,0.013136233102878618,0.9985,0.0799548377836984,0.9821
MLP Multi-Strato,"[512, 256, 128]",0.0,19,0.009677558700181867,0.9962833333333333,0.09783063809197864,0.9798
MLP Multi-Strato,"[512, 256, 128]",0.0,20,0.009708598691031899,0.9974333333333333,0.084968759222342,0.9824
MLP Multi-Strato,"[512, 256, 128]",0.2,1,0.29908967415279925,0.9665,0.117770444750609,0.9644
MLP Multi-Strato,"[512, 256, 128]",0.2,2,0.12347979510405552,0.9790333333333333,0.09001067615500238,0.9729
MLP Multi-Strato,"[512, 256, 128]",0.2,3,0.09260029115600944,0.9862666666666666,0.07182884928320912,0.9777
MLP Multi-Strato,"[512, 256, 128]",0.2,4,0.07519983118280832,0.98815,0.0713816771115754,0.9783
MLP Multi-Strato,"[512, 256, 128]",0.2,5,0.06449099428165378,0.9886666666666667,0.06796915856646109,0.9782
MLP Multi-Strato,"[512, 256, 128]",0.2,6,0.05513524910512525,0.9916,0.06390383845119467,0.9811
MLP Multi-Strato,"[512, 256, 128]",0.2,7,0.048109096166159486,0.9921333333333333,0.06682235089451578,0.9811
MLP Multi-Strato,"[512, 256, 128]",0.2,8,0.04687370746550379,0.9918,0.06522088708483859,0.9809
MLP Multi-Strato,"[512, 256, 128]",0.2,9,0.04106361648491792,0.992,0.07816931941050814,0.9791
MLP Multi-Strato,"[512, 256, 128]",0.2,10,0.041413817377483,0.9939666666666667,0.06679831649358399,0.9799
MLP Multi-Strato,"[512, 256, 128]",0.2,11,0.035495943859465785,0.9935333333333334,0.07960652247847859,0.9797
MLP Multi-Strato,"[512, 256, 128]",0.2,12,0.03351875777425332,0.9952,0.06259503776949069,0.9838
MLP Multi-Strato,"[512, 256, 128]",0.2,13,0.03241940076201797,0.9958166666666667,0.07378561328903144,0.9806
MLP Multi-Strato,"[512, 256, 128]",0.2,14,0.029194135622899315,0.9967833333333334,0.06814994009308273,0.9829
MLP Multi-Strato,"[512, 256, 128]",0.2,15,0.031480971466390485,0.9959166666666667,0.07137588536389108,0.9826
MLP Multi-Strato,"[512, 256, 128]",0.2,16,0.028463741637771822,0.9967,0.06897499301142984,0.9813
MLP Multi-Strato,"[512, 256, 128]",0.2,17,0.027667406222486157,0.9978666666666667,0.06291618949723636,0.9847
MLP Multi-Strato,"[512, 256, 128]",0.2,18,0.02436115807922024,0.9966,0.07453911952219587,0.9827
MLP Multi-Strato,"[512, 256, 128]",0.2,19,0.024606635837233874,0.9967,0.08538733905235076,0.9797
MLP Multi-Strato,"[512, 256, 128]",0.2,20,0.023278311500499554,0.9967666666666667,0.08515269826161094,0.9827
MLP Multi-Strato,"[512, 256, 128]",0.4,1,0.37880176200922616,0.9618833333333333,0.13520156291219157,0.9574
MLP Multi-Strato,"[512, 256, 128]",0.4,2,0.1763284619270103,0.9740333333333333,0.10755571632062474,0.9681
MLP Multi-Strato,"[512, 256, 128]",0.4,3,0.14045123291263448,0.9819833333333333,0.08542695135092569,0.9751
MLP Multi-Strato,"[512, 256, 128]",0.4,4,0.11923231267884596,0.9845166666666667,0.07779083743763651,0.9764
MLP Multi-Strato,"[512, 256, 128]",0.4,5,0.10785900579809125,0.9861166666666666,0.07485070273713386,0.9775
MLP Multi-Strato,"[512, 256, 128]",0.4,6,0.09096182565460963,0.9871166666666666,0.07596039423084751,0.9796
MLP Multi-Strato,"[512, 256, 128]",0.4,7,0.08646271548577464,0.9900333333333333,0.06495932997799334,0.9816
MLP Multi-Strato,"[512, 256, 128]",0.4,8,0.08185811520818231,0.9899166666666667,0.07097751708573048,0.9807
MLP Multi-Strato,"[512, 256, 128]",0.4,9,0.07757946287097135,0.9919333333333333,0.063500051785416,0.9821
MLP Multi-Strato,"[512, 256, 128]",0.4,10,0.07224078668452212,0.9929333333333333,0.062114478927492486,0.9831
MLP Multi-Strato,"[512, 256, 128]",0.4,11,0.06860111908776674,0.9907833333333333,0.0708792518518196,0.9792
MLP Multi-Strato,"[512, 256, 128]",0.4,12,0.06812255915159038,0.9928833333333333,0.06909016816781574,0.9811
MLP Multi-Strato,"[512, 256, 128]",0.4,13,0.06526161562492534,0.99385,0.05895331610203288,0.9829
MLP Multi-Strato,"[512, 256, 128]",0.4,14,0.06459437001016,0.9950166666666667,0.06292299453983255,0.9829
MLP Multi-Strato,"[512, 256, 128]",0.4,15,0.05759794339051109,0.9948,0.062497179132001694,0.983
MLP Multi-Strato,"[512, 256, 128]",0.4,16,0.0560022425025638,0.99495,0.06030861153726907,0.9846
MLP Multi-Strato,"[512, 256, 128]",0.4,17,0.05764948334922192,0.99535,0.062038947844441764,0.9832
MLP Multi-Strato,"[512, 256, 128]",0.4,18,0.05400154622656895,0.9954333333333333,0.07121337746972545,0.9816
MLP Multi-Strato,"[512, 256, 128]",0.4,19,0.05414498704763602,0.9948,0.07344716947467894,0.9825
MLP Multi-Strato,"[512, 256, 128]",0.4,20,0.052124242884601386,0.9957833333333334,0.06757366155041589,0.9827
MLP Multi-Strato,"[512, 256, 128]",0.6,1,0.5966517908105464,0.9498,0.17385825460564486,0.95
MLP Multi-Strato,"[512, 256, 128]",0.6,2,0.292743619205728,0.9651333333333333,0.13075245077916292,0.9625
MLP Multi-Strato,"[512, 256, 128]",0.6,3,0.24206806687530932,0.9700666666666666,0.12312315062905627,0.9645
MLP Multi-Strato,"[512, 256, 128]",0.6,4,0.20976272678133775,0.9730833333333333,0.11526534117867321,0.967
MLP Multi-Strato,"[512, 256, 128]",0.6,5,0.19553462741598646,0.9774,0.10130162035710771,0.9718
MLP Multi-Strato,"[512, 256, 128]",0.6,6,0.1832920489614325,0.9772333333333333,0.099059147226272,0.9727
MLP Multi-Strato,"[512, 256, 128]",0.6,7,0.17453494037328754,0.9802166666666666,0.0886558709006968,0.9744
MLP Multi-Strato,"[512, 256, 128]",0.6,8,0.1707751112324851,0.9826666666666667,0.09162561150616413,0.9753
MLP Multi-Strato,"[512, 256, 128]",0.6,9,0.1603892597276519,0.98315,0.08426617439987309,0.9766
MLP Multi-Strato,"[512, 256, 128]",0.6,10,0.15570253901866707,0.9851833333333333,0.08431631810696982,0.9757
MLP Multi-Strato,"[512, 256, 128]",0.6,11,0.15371698886156082,0.9848166666666667,0.08265343763264067,0.9772
MLP Multi-Strato,"[512, 256, 128]",0.6,12,0.14442669009682593,0.9854666666666667,0.08108370830105062,0.9767
MLP Multi-Strato,"[512, 256, 128]",0.6,13,0.1356294151824484,0.98615,0.08608867922269187,0.9764
MLP Multi-Strato,"[512, 256, 128]",0.6,14,0.14390466097337223,0.98625,0.07956423515400884,0.9787
MLP Multi-Strato,"[512, 256, 128]",0.6,15,0.13516405559599654,0.9865166666666667,0.08159885601643613,0.9782
MLP Multi-Strato,"[512, 256, 128]",0.6,16,0.13428397853173682,0.9879333333333333,0.07617413627758651,0.9793
MLP Multi-Strato,"[512, 256, 128]",0.6,17,0.13523130116066825,0.9885166666666667,0.0790231034388853,0.9789
MLP Multi-Strato,"[512, 256, 128]",0.6,18,0.12785760996374748,0.989,0.07612414107309552,0.9779
MLP Multi-Strato,"[512, 256, 128]",0.6,19,0.12987831065149258,0.98955,0.07663228810692596,0.9799
MLP Multi-Strato,"[512, 256, 128]",0.6,20,0.12468622007302002,0.9899666666666667,0.07476569539972797,0.9811
